Category,Description,Nutrient Data Bank Number,Alpha Carotene,Beta Carotene,Beta Cryptoxanthin,Carbohydrate,Cholesterol,Choline,Fiber,Lutein and Zeaxanthin,Lycopene,Niacin,Protein,Retinol,Riboflavin,Selenium,Sugar Total,Thiamin,Water,Fat.Monosaturated Fat,Fat.Polysaturated Fat,Fat.Saturated Fat,Fat.Total Lipid,Major Minerals.Calcium,Major Minerals.Copper,Major Minerals.Iron,Major Minerals.Magnesium,Major Minerals.Phosphorus,Major Minerals.Potassium,Major Minerals.Sodium,Major Minerals.Zinc,Vitamins.Vitamin A - RAE,Vitamins.Vitamin B12,Vitamins.Vitamin B6,Vitamins.Vitamin C,Vitamins.Vitamin E,Vitamins.Vitamin K
Alcohol,"Eggnog, alcoholic",93301550,0,6,0,6.62,49,42.9,0,44,0,0.089,3.74,48,0.157,3.5,6.62,0.029,79.72,1.071,0.163,2.132,3.45,107,0.014,0.17,16,90,136,45,0.39,49,0.37,0.041,1.2,0.17,0.2
Alcohol,Vodka and tonic,93301218,0,0,0,6.57,0,0,0,0,0,0.003,0,0,0.001,0,6.57,0.002,84.89,0,0,0,0,1,0.01,0.02,0,1,1,9,0.08,0,0,0,0,0,0
Alcohol,Mint julep,93301120,0,0,0,5.75,0,0,0,0,0,0.009,0,0,0.004,0,5.75,0.004,70.47,0,0,0,0.01,0,0.017,0.03,0,3,1,4,0.05,0,0,0.001,0,0,0
Alcohol,Mimosa,93301115,4,4,14,7.14,0,5.3,0.2,14,0,0.196,0.38,0,0.027,0.1,4.74,0.026,87.04,0.011,0.015,0.007,0.06,33,0.024,0.2,11,23,126,3,0.09,1,0,0.063,17.3,0.1,0.2
Alcohol,Glug,93406000,0,1,0,6.24,0,5.6,0.1,6,0,0.224,0.1,0,0.031,0.2,4.15,0.006,83.19,0.012,0.001,0.098,0.14,9,0.016,0.47,12,23,125,4,0.15,0,0,0.056,0,0,0.4
Alcohol,"Wine, table, rose",93401030,0,0,0,3.8,0,0,0,0,0,0.09,0.36,0,0.015,0.2,3.8,0.02,86.4,0,0,0,0,10,0.005,0.2,10,18,59,5,0.11,0,0.01,0.037,0,0,0
Alcohol,"Gelatin shot, alcoholic",93301045,0,0,0,2.8,0,0.1,0,0,0,0.005,0.24,0,0.003,0.2,2.66,0.002,83.85,0,0,0,0,2,0.017,0.02,1,6,1,17,0.02,0,0,0,0,0,0
Alcohol,Bloody Mary,93301030,1,202,1,3.24,0,5.2,0.4,56,6425,0.523,0.66,0,0.061,0.4,2.27,0.075,87.21,0.007,0.03,0.016,0.23,10,0.042,0.41,9,17,180,212,0.11,17,0,0.06,53,0.24,1.9
Alcohol,Gin fizz,93301600,0,0,3,2.22,0,0.4,0,1,0,0.016,0.03,0,0.003,0,1.95,0.003,89.36,0,0.001,0.002,0.01,4,0.011,0.02,1,2,9,16,0.09,0,0,0.003,1,0.02,0
Alcohol,Mojito,93301125,1,82,4,2.45,0,0.6,0.2,18,0,0.036,0.09,0,0.005,0.1,1.82,0.005,89.76,0.007,0.004,0.002,0.03,7,0.024,0.11,2,3,19,15,0.1,7,0,0.006,2.4,0.06,6.3
Alcohol,"Wine, light",93403000,0,0,0,1.17,0,5,0,0,0,0.1,0.07,0,0.01,0.2,1.15,0,92.23,0,0,0,0,9,0.011,0.4,10,15,88,7,0.08,0,0,0.02,0,0,0
Alcohol,"Wine, nonalcoholic",92801000,0,0,0,1.1,0,5,0,0,0,0.1,0.5,0,0.01,0.2,1.1,0,98.2,0,0,0,0,9,0.011,0.4,10,15,88,7,0.08,0,0,0.02,0,0,0
